井陉县,1211,1210
鹿泉市,1212,1210
正定县,1213,1210
栾城县,1214,1210
辛集市,1221,1210
晋州市,1222,1210
深泽县,1223,1210
无极县,1224,1210
藁城市,1225,1210
赵县,1226,1210
新乐市,1227,1210
高邑县,1228,1210
元氏县,1229,1210
赞皇县,1231,1210
平山县,1232,1210
灵寿县,1233,1210
行唐县,1234,1210
清徐县,1611,1610
阳曲县,1612,1610
娄烦县,1613,1610
古交市,1614,1610
荥阳市,4911,4910
中牟县,4912,4910
新郑市,4913,4910
巩义市,4914,4910
登封市,4915,4910
新密市,4916,4910
虞城县,5062,5060
民权县,5064,5060
宁陵县,5065,5060
睢县,5066,5060
夏邑县,5067,5060
柘城县,5068,5060
永城市,5069,5060
